Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20180.0,26378.0,26614.0,26730.0,33942.0,41783.0,50892.0,61261.0,70096.0,70391.0,70642.0,78139.0,84499.0,90414.0,95569.0,99906.0,100105.0,100105.0,104172.0,107984.0,111269.0,114555.0,117211.0,117265.0,117323.0,120841.0,124853.0,128400.0,131266.0,133644.0,133723.0,133759.0,138390.0,143442.0,148437.0,154444.0,159572.0,159778.0,159989.0,165863.0,171633.0,176399.0,180670.0,184681.0,184907.0,185113.0,189009.0,193120.0,197237.0,201305.0,205309.0,205351.0,205410.0,209239.0,212558.0,215652.0,220250.0,220251.0,220251.0,220251.0,223300.0,226558.0,229665.0,232582.0,235483.0,235707.0,235733.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7739.0,7860.0,13179.0,19540.0,25372.0,25507.0,25634.0,32855.0,40421.0,49338.0,59121.0,67555.0,67916.0,68158.0,76110.0,83173.0,89836.0,95851.0,100494.0,100533.0,100542.0,105158.0,108701.0,111428.0,113722.0,115543.0,115626.0,115640.0,118708.0,122246.0,125590.0,128997.0,128999.0,128999.0,128999.0,134506.0,139702.0,144583.0,150307.0,155232.0,155308.0,155362.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6315.0,28222.0,46734.0,63168.0,67332.0,69959.0,93385.0,120854.0,152382.0,181069.0,203017.0,206257.0,207536.0,228808.0,245686.0,260109.0,271033.0,280967.0,282106.0,282498.0,291008.0,298747.0,306511.0,315735.0,322516.0,322864.0,323022.0,334455.0,347757.0,361049.0,373172.0,383888.0,384525.0,384741.0,396595.0,409709.0,422312.0,439665.0,454777.0,457984.0,458855.0,473908.0,490006.0,504656.0,518317.0,530967.0,533633.0,534790.0,547109.0,559853.0,572387.0,584515.0,598362.0,598964.0,598989.0,611767.0,622504.0,633577.0,644884.0,645080.0,645150.0,645152.0,651331.0,658855.0,666899.0,673703.0,679113.0,679869.0,680089.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1997.0,2078.0,2115.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2121.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2130.0,4844.0,25093.0,42879.0,58497.0,62382.0,64695.0,87054.0,114499.0,144843.0,173016.0,194869.0,198002.0,199158.0,222095.0,242023.0,259611.0,274638.0,284802.0,285955.0,286386.0,297234.0,305821.0,311172.0,315743.0,319920.0,320118.0,320229.0,328293.0,339138.0,351104.0,363685.0,364365.0,364452.0,364464.0,382951.0,396556.0,409660.0,425814.0,439023.0,440750.0,441147.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7945.0,10301.0,11598.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11673.0,11917.0,18979.0,28345.0,37233.0,38351.0,38410.0,48276.0,57725.0,70907.0,82124.0,93253.0,94468.0,94488.0,109694.0,122764.0,134096.0,143151.0,150872.0,151303.0,151315.0,157648.0,163130.0,168046.0,172936.0,176694.0,177018.0,177018.0,186502.0,196472.0,205764.0,213805.0,221737.0,222096.0,222098.0,230247.0,238278.0,246016.0,255891.0,264874.0,265399.0,265403.0,275018.0,284402.0,292754.0,300269.0,307745.0,308063.0,308066.0,315727.0,323399.0,331366.0,338986.0,347560.0,347712.0,347774.0,356671.0,365245.0,373390.0,381107.0,381114.0,381130.0,381156.0,385385.0,390080.0,395319.0,398068.0,399596.0,399649.0,399649.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2557.0,8071.0,10250.0,11395.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11478.0,11486.0,11489.0,11503.0,11510.0,11522.0,11522.0,11522.0,11539.0,11808.0,18597.0,27654.0,36459.0,37305.0,37332.0,47201.0,56419.0,69319.0,80268.0,91054.0,92146.0,92168.0,107734.0,121415.0,133647.0,143711.0,152155.0,152507.0,152520.0,159763.0,164838.0,169011.0,172499.0,174946.0,175109.0,175128.0,183719.0,193250.0,202773.0,215186.0,215251.0,215256.0,215274.0,224917.0,233091.0,240611.0,250140.0,258662.0,258977.0,258977.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1668.0,14323.0,26645.0,39902.0,43803.0,46432.0,61131.0,76171.0,92709.0,107730.0,120434.0,121880.0,122467.0,136543.0,149537.0,161139.0,170232.0,179181.0,179552.0,179716.0,186866.0,193298.0,199174.0,204954.0,211397.0,211676.0,211685.0,219269.0,228748.0,237693.0,245183.0,251810.0,252465.0,252715.0,261030.0,269934.0,279601.0,290500.0,300497.0,302012.0,302554.0,313519.0,323921.0,333019.0,341794.0,350155.0,350779.0,350969.0,359957.0,369147.0,378126.0,386551.0,395472.0,395602.0,395629.0,404902.0,412691.0,419766.0,427912.0,427937.0,427965.0,428039.0,433775.0,440135.0,446059.0,451118.0,455556.0,455825.0,455852.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,517.0,1435.0,13090.0,24934.0,37625.0,41382.0,43729.0,58181.0,72738.0,88732.0,103573.0,116162.0,117602.0,118253.0,132685.0,146703.0,159920.0,170892.0,182162.0,182497.0,182581.0,190697.0,196434.0,200749.0,204450.0,208232.0,208283.0,208302.0,214781.0,223044.0,231237.0,239697.0,239756.0,239776.0,239806.0,252271.0,261787.0,271005.0,281119.0,289946.0,290243.0,290285.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12105.0,71908.0,135240.0,197890.0,208213.0,210140.0,293834.0,385142.0,486869.0,577973.0,664943.0,678832.0,680573.0,784976.0,870592.0,945054.0,1006228.0,1062664.0,1067944.0,1068349.0,1105705.0,1136405.0,1164343.0,1192301.0,1216210.0,1220017.0,1220129.0,1277107.0,1340008.0,1403975.0,1465519.0,1524515.0,1530229.0,1530640.0,1583709.0,1636112.0,1687104.0,1751213.0,1808160.0,1822669.0,1823593.0,1883963.0,1947464.0,2006300.0,2065518.0,2122318.0,2138254.0,2139190.0,2200523.0,2264677.0,2330447.0,2401686.0,2476567.0,2486125.0,2486701.0,2550588.0,2607192.0,2660940.0,2717473.0,2718363.0,2719079.0,2719330.0,2749876.0,2785458.0,2822642.0,2852979.0,2881622.0,2889012.0,2889490.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5655.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,5656.0,6927.0,7591.0,7596.0,7596.0,7606.0,7756.0,7814.0,7829.0,7840.0,7840.0,7840.0,7840.0,7850.0,7850.0,7850.0,7850.0,7850.0,7850.0,7852.0,7852.0,7855.0,7892.0,7906.0,7907.0,7907.0,7953.0,11644.0,63918.0,123996.0,184512.0,192943.0,194238.0,274974.0,365487.0,465402.0,554269.0,638061.0,649830.0,651014.0,756900.0,847573.0,930267.0,1000823.0,1061216.0,1068323.0,1068803.0,1108696.0,1137678.0,1158944.0,1177547.0,1196890.0,1198743.0,1198952.0,1248047.0,1307884.0,1371116.0,1442788.0,1445765.0,1446631.0,1446973.0,1529388.0,1584914.0,1638194.0,1701009.0,1759957.0,1770149.0,1770834.0
